APPROVAL_ID,DEVID,STAGE,ROLE,DESCRIPTION,DATE_ACTION,APPROVED_BY,ISARCHIVED
416,233,5,A,,34:41.1,agoudy,0
417,232,5,K,,04:28.0,cmacke,0
418,232,5,A,,35:11.5,agoudy,0
419,231,5,K,,03:37.4,cmacke,0
420,231,5,A,,35:01.5,agoudy,0
421,234,5,A,,35:31.3,agoudy,0
422,235,5,A,,35:32.4,agoudy,0
423,236,5,A,,55:40.5,agoudy,0
424,237,5,A,,33:41.8,agoudy,0
425,238,5,A,,17:32.1,agoudy,0
426,239,5,A,,17:27.9,agoudy,0
,,,,,,,
,,,,,,,
Disclosure's Proprietary Information,,,,,,,
